sm,ft,ma,gt
CC(=Cc1ccccc1)CO,"[-2.7243981   1.0236673   0.14847678 ...  0.          0.
  0.        ]",[False False False False  True],[ 0.78245112  0.8378451  -0.90773698 -0.36131255 -0.33481153]
Nc1nc2cc(Br)ccc2o1,"[-14.295192   19.71878    -3.2047384 ...   0.          0.
   0.       ]",[False False False False  True],[-0.17427598  0.28787434 -0.96237816 -0.5814389  -0.09667406]
CN(C)C(=O)Nc1ccc(Cl)cc1,[-9.733939  9.883936 -5.478608 ...  0.        0.        0.      ],[False False False False  True],[-0.27517787 -0.05015072 -0.67062738 -0.9422577  -0.11973392]
COc1cc(OC)c(S(=O)(=O)N(c2ccccc2)C(C)C)cc1NC(C)=O,[ 15.987561 -47.37958   26.101778 ...   0.         0.         0.      ],[False  True False False False],[ 0.34996092  0.97341211 -0.63806327 -0.93085162 -0.47155239]
CCCN(CCC)C(=O)C(Cc1ccc(OCCN(CC)CC)cc1)NC(=O)c1ccccc1,[-8.842045   5.3536453 -6.024255  ...  0.         0.         0.       ],[False False False False  True],[ 0.24745579  0.81330944 -0.92887465 -0.81857772  0.09800443]
COc1ccc(Cc2cnc(N)nc2N)cc1OC,[-1.6913817 -8.897376  15.3160925 ...  0.         0.         0.       ],[False False False False  True],[-0.23312078  0.21026037 -0.96692774 -0.75350108 -0.30864745]
O=[N+]([O-])c1ccc(Cl)c2nc(C(F)(F)F)[nH]c12,[-5.337921   6.3271055 12.193407  ...  0.         0.         0.       ],[False False False False  True],[-0.71189891  0.97562184 -0.45091908  0.83288072  0.81330377]
CC(=N)N1CC[C@H](SC2=C(C(=O)O)N3C(=O)[C@H]([C@@H](C)O)[C@H]3C2)C1,[-0.7329464 -4.1586304 -1.7308066 ...  0.         0.         0.       ],[False False False  True False],[ 0.57483444  0.87444352 -0.76921614 -0.92521412 -0.1543057 ]
C[N+](C)([O-])CCC=C1c2ccccc2CCc2ccccc21,"[-11.985487   21.449837   -3.0517466 ...   0.          0.
   0.       ]",[False False False False  True],[ 0.39625489  0.90094777 -0.94185548 -0.21794154 -0.1481153 ]
CC1CCC(=O)CC1,[ 2.276457  -2.5672147  2.902202  ...  0.         0.         0.       ],[False False False False  True],[-0.29801876  0.8725805  -0.55951967 -0.48861226 -0.17694013]
CC(C)(C)NC(=O)C1CCC2C3CC=C4C=C(C(=O)[O-])CCC4(C)C3CCC12C,[18.145     -1.5991385 -0.6839466 ...  0.         0.         0.       ],[False False  True False False],[ 0.05867466  0.82099685 -0.83915023  0.49864216  0.5569397 ]
CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,[-1.886857  11.16666    3.7158995 ...  0.         0.         0.       ],[False False False False  True],[-0.28483335  0.72777771 -0.74510072 -0.87418494  0.07450111]
Clc1ccc(C(Cl)(Cl)c2ccc(Cl)cc2)cc1,"[-12.589436   12.152834   -3.5598178 ...   0.          0.
   0.       ]",[False False False False  True],[-0.68651799  0.80797162 -0.81636038 -0.08627533  0.31662971]
NS(=O)(=O)c1ccc(Cl)cc1,[24.190525 -4.81864  14.814142 ...  0.        0.        0.      ],[ True False False False False],[ 0.61649611  0.99528872 -0.95239059  0.83288072 -0.40053863]
[NH3+]CC(=O)CCC(=O)[O-],[-9.068428  -1.2479839 -1.7883334 ...  0.         0.         0.       ],[False False  True False False],[-0.05863066  0.40804413 -0.96661608 -0.88354531 -0.63440902]
CN(C)CCCN1c2ccccc2CCc2ccccc21,[26.380022  -7.6409283 23.374279  ...  0.         0.         0.       ],[ True  True False  True  True],[ 0.31613019  0.28626292 -0.53147943  0.33152287  0.22350333]
CCC(C(C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,[22.144005 -8.454356 12.607613 ...  0.        0.        0.      ],[False False  True False False],[ 0.08119089  0.98064847  0.15022762 -0.2958896  -0.48831332]
O=C(O)CC(O)(CC(=O)O)C(=O)O,"[-11.139055    3.1015098  -8.501478  ...   0.          0.
   0.       ]",[False False False False  True],[ 0.01650914  0.86056    -0.78052792 -0.45247762 -0.32815965]
CC(=O)c1cccc([N+](=O)[O-])c1,"[-3.580532   -0.26919127 -3.110247   ...  0.          0.
  0.        ]",[False False False False  True],[ 0.24012669 -0.65199409  0.82272755 -0.96338658 -0.37250554]
O=C(Cl)CCCC(=O)Cl,[ 3.6646295 -2.6554894  1.522264  ...  0.         0.         0.       ],[False False False False  True],[-0.28364082  0.63173246 -0.85060159  0.33152287  0.12461197]
CCCCOC(=O)c1ccccc1O,"[-19.660576   10.189224   -0.8783823 ...   0.          0.
   0.       ]",[False False False False  True],[ 0.67532021  0.75384695 -0.78273408 -0.87594308 -0.21640798]
COc1ccc(Cc2c(N)n[nH]c2N)cc1,"[-12.108223     4.544043    -0.35062885 ...   0.           0.
   0.        ]",[False  True False False False],[ 0.25264574 -0.14032496 -0.24430956 -0.92945601 -0.31337206]
ClC1=CC(Cl)C(Cl)C(Cl)C1Cl,"[-9.9437275   0.30480802 -9.848077   ...  0.          0.
  0.        ]",[False False False False  True],[-0.1086483   0.20441609 -0.80208221  0.66576144 -0.2691796 ]
FC(F)(Cl)C(Cl)Cl,"[-12.997946    3.5324273   1.9503524 ...   0.          0.
   0.       ]",[False False False False  True],[ 0.34442886  0.92778798 -0.49434639 -0.23742609 -0.36984479]
CC(C)(C(=O)[O-])c1ccc(C(=O)CCC[NH+]2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,[-6.2648478  7.4650736 -5.5634613 ...  0.         0.         0.       ],[False False  True False False],[ 0.13792973  0.75282531 -0.87860395 -0.73680526  0.23743088]
