CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,[ 0.08887636  0.6800711  -0.78078175 -0.60290545 -0.03834305]
COP(C)(=O)SC,[ 0.32116702  0.5742595  -0.50729567 -1.         -0.09465477]
CC(C)c1ccc(NC(=O)NCCCSC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)cc1,[ 0.13925649  0.8714414  -0.8698734  -0.36219037  0.64710015]
CC(C)C(N)C(=O)NC(Cc1ccccc1)C(=O)OC[C@@H]1O[C@H](n2cc(F)c(=O)[nH]c2=O)C[C@H]1O,[ 0.43783146  0.49898672 -0.3975112  -0.28263432 -0.14124905]
COc1cc(OC)c(S(=O)(=O)N2c3ccccc3Oc3ccccc32)cc1NC(=O)CCC(=O)O,[-0.09150613  0.83709407 -0.6557902  -0.8238679  -0.11310903]
c1ccc(C(c2ccccc2)N2CCNCC2)cc1,[ 0.5336639   0.850738   -1.         -0.7181583   0.35068437]
COc1ccc(S(=O)(=O)N2CCC[C@H](n3cc(C)c(=O)[nH]c3=O)C2)cc1Oc1cccc(Cl)c1,[ 0.29428428  0.86902595 -0.9525118  -0.5603948   0.10327487]
CS(=O)(=O)Oc1ccc(Cl)cc1Cl,[-0.6707033   0.29651615 -0.9981493  -0.83361936  0.7164291 ]
O=P(CC(Br)CCl)(OC(CCl)CBr)OC(CCl)CBr,[-0.1465546   0.7370989  -0.25915235 -0.32747293 -0.06255781]
CC1=C2C[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]2CC[C@]12O[C@@H]1C[C@H](C)CN[C@H]1[C@H]2C,[ 0.13262972 -0.41187793 -0.9399057  -0.7322923   0.8409499 ]
COc1ccnc(CCc2nc3cc(Br)cnc3[nH]2)c1,[ 0.23400892  0.8719262   0.20677347 -0.80393606  0.34799242]
CCOP(=O)(OCC)SCc1nnc(SC(C)C)s1,[-0.14154324  0.6812726  -0.5877456  -0.72978985  0.07979614]
Cc1nccnc1SCc1ccco1,[-0.05030403  0.2902782  -0.9894372  -1.          0.7393465 ]
CCCn1c(=O)[n-]c(=O)c2nc[nH]c21,[-0.05830194  0.50994146 -0.26932397  0.01830579 -0.19816993]
CCCC(=O)OCC=C(C)CCC=C(C)C,[ 0.6431659   0.6817625  -0.86971533 -0.5644401  -0.614395  ]
COC(=O)c1cccc(N=NN(C)C)c1,[ 0.1778231   0.9663082  -0.41027585 -0.44121152 -0.02151911]
CCCCCCCC(=O)NO,[ 0.1650546   0.16828758 -0.47527364  0.00973894 -0.32014236]
NS(=O)(=O)Cc1noc2ccccc12,[ 0.31938234  0.8014711  -0.86160356 -0.7690875   0.11394008]
Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,[ 0.08389153  1.         -0.05302943 -0.16559863  0.3590257 ]
CCCCOC(NC(=O)c1ccccc1O)C(Cl)(Cl)Cl,[ 0.18482806  0.4800916  -0.6207629  -0.5437987  -0.06657305]
O=C1CN(/N=C\c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)[N-]1,[ 0.18816712  0.6359418  -0.80217195 -0.55236024  0.01013272]
CC(CO)CCO,[-0.3518237  -0.03762687 -0.17461547 -0.82851946 -0.29038215]
COc1cc(C(=O)N2CC[C@](CCN3CCC(C(=O)N4CCN(C)CC4)(c4cccnc4)CC3)(c3ccc(Cl)c(Cl)c3)C2)cc(OC)c1OC,[ 0.255032    0.5270713  -0.81651235 -0.6418402  -0.25471255]
C[NH+]1CCOC(c2ccccc2)c2ccccc2C1,[ 0.04408202  0.8908242  -0.5225823  -0.76999503  0.05299047]
Cc1c(Sc2ccc(Cl)cc2)c2cc(S(C)(=O)=O)ccc2n1CC(=O)O,[-0.4913966   0.93600005 -0.36613846 -0.23658057 -0.44018736]
O=C(OOC(=O)c1ccccc1)c1ccccc1,[ 0.27163705  0.8261022  -0.28859794 -0.8448299  -0.40515554]
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,[ 0.44229725  0.43689805 -0.48369214 -0.48511213  0.28778157]
O=C(Cl)c1cccc(S(=O)(=O)Cl)c1,[-0.16630694  0.8481781  -0.9445426  -0.7463641  -0.40419608]
COc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-],[ 0.30405185  0.88011336 -0.98537344 -0.5045976  -0.6340731 ]
CCCCCN(CCCOC)C(=O)C(CCC(=O)[O-])NC(=O)c1ccc(Cl)c(Cl)c1,[ 0.20611283  0.7700143  -0.62773573 -0.25681135  0.85551167]
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,[ 0.1671312   0.57254064 -0.3814296  -0.73563397 -0.32366478]
Nc1ccc(S(=O)(=O)O)c2cccc(S(=O)(=O)O)c12,[ 0.29519382  0.9910309  -0.7801223  -0.13675226 -0.22386025]
CN(C)C(=O)N(C)N=O,[ 0.1573269  -0.7276476  -0.70309085 -1.         -0.16701746]
CC1CCC2(C(=O)[O-])CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1C,[ 0.28686967  0.91064674 -0.8930094  -0.89211595 -0.34881285]
C[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1C(=O)Cc1ccc(Cl)cc1,[ 0.43359852  0.45393226 -0.78739685  0.07063207  0.16705744]
CC(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C=O)CCCNC(=N)N,[-0.11544799  0.97440726 -0.3322492  -0.887454   -0.00276004]
Cc1ccc(-c2ccccc2)cc1,[ 0.03407076  0.7805957  -0.90638006 -0.7121055  -0.3102698 ]
CC1OC(OC2C(C)OC(OC3C(C)OC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(OC=O)CC65O)C4)CC3OC=O)CC2OC=O)CC(OC=O)C1OC=O,[ 0.37887758  0.86917067 -0.7977543  -0.6037576   0.00586594]
NP(=S)(N1CC1)N1CC1,[-0.5285255   0.79282326 -0.84999573 -0.78161883 -0.02311279]
COc1ccc(CCN(C)CCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,[-0.14669748 -0.45785213 -0.7489561  -0.6473331  -0.03236071]
CC(=O)OCC1=CCC2CC1C2(C)C,[ 0.18238036  0.81760544 -0.09156444 -0.86324996 -0.2629923 ]
C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)NC1=O,[ 0.3678012   0.5690749  -0.05844577 -0.39787066 -0.52518785]
CC(C)C(NC(=O)c1ccccc1)C(=O)c1ccc(C#N)cc1,[ 0.40731686 -0.36493313 -0.72271246  0.00162877 -0.27840742]
O=C(O)CF,[ 0.41051602  0.6095836  -0.5471878  -0.6169766  -0.40549424]
CCNC(C)c1ccccc1,[ 0.197393    0.98030967 -0.947954   -0.6534855   0.36222592]
C=CCCCC=CCO,[ 0.4360649   0.74856824 -0.7350151  -0.4080532  -0.09667438]
