CC1OC(n2ccc(NC(=O)c3ccc(NC(=O)C(C)(N)CO)cc3)nc2=O)CCC1OC1OC(C)C(N(C)C)C(O)C1O,[-0.23300111  0.8063339  -0.31212097 -0.39566714  0.5275515 ]
COc1cc2c(cc1OC)C(Cc1cc(OC)c(OC)c(OC)c1)[N+](C)(CCCOC(=O)CC/C=C\CCC(=O)OCCC[N+]1(C)CCc3cc(OC)c(OC)cc3C1Cc1cc(OC)c(OC)c(OC)c1)CC2,[-0.17251542  0.90047395  0.44095176 -1.         -0.0855053 ]
Nc1ccc(O)c([N+](=O)[O-])c1,[ 0.42741024 -0.38147083 -0.95847636 -1.         -0.29874167]
C#CC(C)(O)C(O)c1ccccc1,[ 0.27418965  0.6753854  -0.99835354 -0.20775847 -0.254465  ]
CN(C)CC=C(c1ccc(Br)cc1)c1cccnc1,[-0.64166963  0.7462875  -0.61637354 -0.8401453  -0.05220575]
CC(C(=O)O)c1ccc(CC2CCCC2=O)cc1,[ 0.41210184  0.73188674 -0.7341605  -0.8682327   0.51482385]
Nc1cc2c(S(=O)(=O)O)cc(S(=O)(=O)O)cc2cc1S(=O)(=O)O,[-0.7521111   0.3277025  -1.         -1.         -0.29896984]
CCCCCC(=O)O,[ 0.10775235  0.94040185 -0.7279727  -0.58875203  0.3663863 ]
COC(=O)C(C(C)=O)C(C)=O,[-0.22168413  0.8498355  -1.          0.09652378 -0.78954774]
CN(C)NC(=O)CCC(=O)O,[ 0.1350925   0.7758207  -1.         -0.22764894  0.42310855]
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,[-0.43380412  0.13810244 -1.         -0.8804398  -0.3191759 ]
O=C1OCC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,[ 0.29797205  0.5024695  -0.67228687 -0.19616507  0.26274028]
CSCCC(OC(C)=O)C(=O)O,[-0.05799587  0.9569183  -0.7479162  -0.6946732  -0.11499443]
C=CC(=O)N(C)C,[ 0.6141788   0.87022895 -0.40330985 -0.61656374 -0.21810706]
O=NN1CCCCC1,[-0.2013779   0.84891015 -0.8186457  -0.70740443 -0.10293674]
CC(C)C1NC(=O)c2ccccc2O1,[ 0.26498082  0.5839062  -1.         -0.5427062  -0.27805555]
CCCCn1c(=O)n(CCC)c(=O)c2[nH]c(C)nc21,[ 0.03809059  0.86493284 -1.         -0.59006983  0.11378737]
CC1CCC(C(C)C)C(O)C1,[ 0.40412542  1.          0.764129   -0.9666862  -0.12228818]
CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,[ 0.6480426   1.         -0.45427257 -0.4266396  -0.24848953]
CN(CCCOCCOCCc1ccccc1)CCc1ccc(O)c2nc(O)sc12,[ 0.22130312  0.19563673 -0.96148616 -0.31962782 -0.23525164]
COP(=S)(OC)Oc1cnc2ccccc2n1,[ 0.4091622   1.         -0.54218113  0.2661827   0.01133053]
CC(O)COC(C)CP(CC(C)OCC(C)O)CC(C)OCC(C)O,[ 0.15723981  0.6792574  -0.8819139  -0.70001465 -0.15819778]
Cc1c(Cl)c([N+](=O)[O-])c2[nH]c(C(F)(F)F)nc2c1[N+](=O)[O-],[-0.42807958  0.73764867 -0.9640412  -1.         -0.44401985]
CCCCOCCOC(C)=O,[-0.01618375  0.395481   -0.6881866  -1.         -0.10046209]
N#CCCOCCC#N,[ 0.45589307  0.8131147  -0.7790772  -0.7136031  -0.39126676]
O=C(Cc1ccc(OCc2ccccc2)cc1)NO,[ 0.30198544  1.          0.27817726 -0.5539838  -0.14803709]
CC(C)CCCC1CCC(C)(C(=O)NCC(=O)O)CC1,[-0.02749155  0.72573304 -0.5824291   0.5195218  -0.0744644 ]
Cc1cc(Sc2cc(C)c(O)c(C(C)(C)C)c2)cc(C(C)(C)C)c1O,[ 0.00413193 -0.6946612  -0.9716095  -0.44356826 -0.32191557]
Cc1ccc([N+](=O)[O-])cc1,[ 0.5043575   1.         -0.78580004 -0.9208736   0.03132607]
Cc1ccc2c(c1)c(-c1ccnc3cc(Cl)ccc13)c(C)n2CC(=O)O,[ 0.4883715   0.56759053 -0.5061866  -0.34070185  0.27526736]
C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H](N6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1,[-0.1812829   0.58092767 -0.8081963  -0.4863512  -0.0684696 ]
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(N)n1,[ 0.07668624  0.8594115  -0.988234   -0.76715463  0.38927984]
Cc1c(F)cc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC(C)(C)C)cn1,[-0.549526    0.58856565 -0.07832209 -0.63876635 -0.18199219]
SCc1ccccc1,[ 0.1442752   0.45764863 -0.44304422 -0.20709921  0.11485683]
O=[N+]([O-])c1nccs1,[ 0.56301033  0.5322378  -0.34483343 -0.79777825 -0.2594636 ]
CC(C)(O)c1ccc(Nc2nc3ccc(C#N)cc3[nH]2)cc1,[-0.48611102  0.27548143 -0.41076714 -0.89488155  0.1441878 ]
O=C(Nc1cccc(Cl)c1)OCC#CCCl,[ 0.26800227  0.95385945 -0.74798405 -1.          0.03316239]
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,[ 0.60727596  0.4086497  -0.6492825  -0.13868748  0.16804968]
O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc(Cl)cc54)CC3)nc2N1,[ 0.10548201  0.7176377  -0.10433286 -0.963047    0.35346776]
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3C(O)C12,[ 0.04817973  0.56178373 -0.7560004  -0.6497605  -0.34670386]
CN(C)N=Nc1ccc(I)cc1,[-0.30423716  0.6819165  -0.8068742  -0.7506961  -0.38688892]
C[Si](C)(C)CCCC(=O)O,[ 0.41073313  1.         -0.45070344 -0.16316058  0.22514433]
CN(C)C(Cc1ccccc1)c1ccccc1,[ 0.29547885  0.49101815 -0.36886185 -0.910665    0.26825586]
NCCNCCNCc1ccccc1O,[ 0.5789607   0.96520483 -0.43179718 -0.10021312 -0.01643832]
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2)C(C)C,[-0.3775455   0.31483096 -0.8693187  -0.2478539  -0.06398287]
CSCCC([NH3+])C(=O)NC1(C(=O)[O-])CS(=O)(=O)C2C(C(=O)[O-])C21,[ 0.5400408   0.9999611  -0.45531034  0.60964245  0.1717996 ]
CS(=O)(=O)c1nc(-c2ccc(F)cc2)n(-c2ccc(Cl)cc2)n1,[ 0.54606307  0.5234727  -0.2540942  -0.9637165  -0.2999073 ]
CC1NC(=S)NC1=O,[-0.12098365  1.         -0.8315935  -1.         -0.02000165]
C=CC(=O)OCCOC(=O)CC(C)=O,[ 0.2488218   1.         -0.9153959  -1.          0.04169457]
CCNC(=O)C(C)OC(=O)Nc1ccccc1,[ 0.41091916  0.8057228  -0.889492   -0.7028213   0.03028178]
