CCCN(CCC)c1c([N+](=O)[O-])cc(C(C)C)cc1[N+](=O)[O-],[-0.1951373   0.91612566 -0.6593678  -0.8515039   0.47365847]
Cc1ncccc1Oc1ncnc(OC2CCN(C(=O)OC(C)C)CC2)c1C,[-0.00878834  0.5374655  -0.7095962   0.2991354  -0.40596336]
Cc1c(CN2CCOC(c3ccccc3)C2C)c(=O)n(-c2ccccc2)n1C,[ 0.447442    0.7062963  -1.         -0.76612145 -0.2689286 ]
ClC1=C(Cl)C(Cl)(C2(Cl)C(Cl)=C(Cl)C(Cl)=C2Cl)C(Cl)=C1Cl,[ 0.05108963  0.7007195  -0.5887472  -0.04350613  0.22827321]
CS(=O)(=O)c1nc(-c2ccc(F)cc2)n(-c2ccc(Cl)cc2)n1,[-0.11971251  0.8155031  -0.61518157 -0.8867385  -0.27218357]
CCC[C@@H](c1ccc(C(=O)O)c(Oc2cccc(Cl)c2)c1)N1CCC[C@H](n2cc(C)c(=O)[nH]c2=O)C1,[ 0.3142541   0.7648234  -0.7676018  -0.5423598  -0.09707742]
O=C(CCl)OC1=C(OC(=O)CCl)C(=O)OC1=O,[ 0.06416074  0.9816927  -0.56458133 -0.908794    0.01577608]
CC(C)[N+](=O)[O-],[ 0.14032765  0.9429498  -0.8934719  -0.5613697  -0.27855656]
CCOC(=O)c1ccc(C#Cc2ccc3c(c2)C(C)(C)CCS3)nc1,[-0.09928382  0.2550377  -0.34659448 -0.38537055 -0.3916946 ]
O=C1CCc2cc(C=CCN3CCN(c4ccc(Cl)cc4)CC3)ccc2N1,[ 0.34886393  0.8096804  -0.9223424  -0.28978643 -0.4580288 ]
S=c1[nH]cnc2nc[nH]c12,[-0.097821    0.2815849  -1.         -1.         -0.23982798]
CCSP(SCC)SCC,[ 0.557381    0.8346195  -1.         -0.59706044 -0.44794008]
ClC(Cl)(Cl)c1cccc(C(Cl)(Cl)Cl)c1,[ 0.5144492  0.8386578 -0.7291587 -1.         0.5652065]
CNC(=O)CSP(C)(=S)OC,[ 0.3053239  -0.21332003 -0.27539665 -0.15856877  0.01570321]
CN(C)C(=O)Oc1cccc2sccc12,[ 0.3171288   0.10864618 -0.45982414 -1.          0.15164046]
N#CSCCSC#N,[-0.00584128  0.7253339  -0.8500839  -0.7883804  -0.57362616]
C=C(C)C(=O)OCCC[Si](OC)(OC)OC,[-0.03873956  0.86937827 -0.8041303  -0.88699234 -0.478305  ]
CC[C@H]1CN(Cc2cc(Cl)ccc2OCC(=O)O)CCN1S(=O)(=O)c1ccccc1,[ 0.29817557  0.88539225 -0.6968258  -0.6307105   0.13711746]
CN(C)NC(=O)CCC(=O)O,[ 0.22796717  0.27812356 -0.826879   -0.41864046 -0.21112569]
CSCC(NC(=O)COc1cccc2cnccc12)C(=O)NC(Cc1ccccc1)C(O)C(=O)N1CSCC1C(=O)NC(C)(C)C,[ 0.87267476  0.33456948 -0.7590747  -0.5850028   0.11031023]
COc1ccc2ncc(=O)n(CCN3CC[C@@H](NCc4cc5c(cn4)OCCO5)[C@H](O)C3)c2c1,[ 0.17009819  0.4281481  -0.7547021  -0.84968454  0.07826929]
Fc1ccc(Br)cc1,[-0.63080984  0.77042305 -0.9188455  -0.02196262  0.04475367]
C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1,[ 0.07856695 -0.87709355 -0.47189394 -0.20944041  0.5143874 ]
C1=CCC(C2OCC3(CC=CCC3)CO2)CC1,[-0.43567294  0.58361655 -0.74465674 -0.408933   -0.39665967]
CC1OC(n2ccc(NC(=O)c3ccc(NC(=O)C(C)(N)CO)cc3)nc2=O)CCC1OC1OC(C)C(N(C)C)C(O)C1O,[ 0.18342268  1.         -0.7480684  -0.82953984  0.44244266]
CC(=O)CCC(C)=O,[-0.03732247  0.78073263 -0.7000412  -0.78799176 -0.63797367]
CCCc1c(OCc2cccn3c(=O)c(CCC(=O)O)cnc23)ccc(C(C)=O)c1O,[ 0.1425327  -0.71071607 -0.31251642 -0.3223464   0.24962291]
CCC(=O)CC,[ 0.28711057  0.69270784 -1.         -0.70950806 -0.37074417]
Cc1ccc(N=C=O)cc1,[ 0.25628215  0.42980808 -0.5756123  -0.76289964  0.39158857]
Cc1nccc(-c2ccc(-c3nc4ccncc4c(O)c3C#N)cc2)c1Cl,[ 0.6098353   0.7923556   0.13697185 -0.63956255 -0.449388  ]
CCC1(CC)C(=O)NCC(C)C1=O,[ 0.2032942   0.8696184  -0.52407575 -0.72482884  0.6006497 ]
CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,[ 0.3681708   0.8108253  -0.71891797 -0.11406574  0.27688077]
O=[N+]([O-])c1ccc(O)c(CNCCO)c1,[ 0.48886204  0.7609939  -0.9323177  -0.53888464  0.16929612]
COCCNC(=O)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1C,[ 0.14351717 -0.01664574 -0.9232435  -0.02707532  0.5788038 ]
Cc1ccc(-c2ccccc2)cc1,[-0.11114927  0.6954614  -0.98217785 -0.9173708  -0.08736585]
C=C(C)CN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],[ 0.43939626  0.50920516 -0.07227346  0.13558511  0.8586695 ]
CCCCOP(=O)(O)OCCCC,[ 0.37611467 -0.6111869  -0.95169073 -0.77341986 -0.51700807]
COP(=S)(OC)SCc1nc(N)nc(N)n1,[ 0.08904561  0.6965365  -0.8655743  -0.38759372  0.84689546]
ClCC1C(CCl)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl,[ 0.55166703  0.670264   -0.8026057  -0.6640816   0.08718345]
CC(=O)Nc1ccc(C)c(NS(=O)(=O)C(F)(F)F)c1,[ 0.14953163  0.17372724 -0.63963896 -0.7133401  -0.3809932 ]
CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-],[ 0.29138318  0.7782026  -1.         -0.6295738  -0.22026931]
CNC(=O)ON=C(C)SC,[-0.27808627  0.89435047 -0.6805262  -0.26762813 -0.1131589 ]
CC(=O)OC(C(=O)NC(N)=O)c1ccccc1,[ 0.50628084  0.01232099 -0.92609036  0.3188722   0.5928226 ]
CCCNC(=O)[N-]S(=O)(=O)c1ccc(Cl)cc1,[ 0.37628955  0.91747147 -0.84402084 -0.55466837  0.25947508]
O=C1OCC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,[ 0.52130884  0.34003657 -0.9253316  -0.7549705  -0.48710337]
O=NN(c1ccccc1)c1ccccc1,[ 0.53438234  0.776423   -0.69075865 -0.84974205  0.7415604 ]
CCCCCCCCCCCC(=O)OCC(O)C1OCC(O)C1O,[-0.15930505  0.4874375  -0.78846574 -0.33188367 -0.2611908 ]
C=CCN1CCC23CCCCC2C1Cc1ccc(O)cc13,[ 0.42318535  0.5004316  -0.2798924  -0.558499   -0.10305522]
O=C(CN1CCNCC1)NN=Cc1ccc([N+](=O)[O-])o1,[ 0.23586842 -0.77614635 -1.         -1.         -0.33802754]
COc1cc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc(O)c1OC,[ 0.20317394  0.12222712 -0.8504207  -1.         -0.15173689]
