CCOC(=O)CCN1CC(=O)N(C)c2ccc(NCc3ccc(C(=N)N)cc3)cc2C1=O,[-0.17143054  1.         -0.8396271  -0.88547945  0.05268715]
CC(C)(C)[NH2+]CC(O)c1cc(O)cc(O)c1,[ 0.2647479   0.9523688  -0.8223809  -0.8476272  -0.64082503]
COCCNC(=O)CSP(=S)(OC)OC,[ 0.24297377  0.65441096  0.46615273 -0.18843865 -0.16307834]
CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,[ 0.171799    0.82948744 -0.6864569  -0.6559886   0.03005052]
CN(C)N=O,[ 0.45844808  0.32781193 -0.7447181  -0.7724235   0.02861746]
Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,[-0.01145508  0.7209118  -0.77212274 -0.56774664 -0.29038748]
CC(C)=CC1C(C(=O)OCc2ccc(C)cc2C)C1(C)C,[-0.49548787  1.         -0.71979    -0.43176076 -0.06303445]
Nc1nc[nH]n1,[ 0.05618638  0.8624876  -0.9306697  -0.9509276  -0.29608843]
CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,[ 0.05475171  0.7272269  -0.86521655 -0.94991046 -0.07302965]
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,[ 0.15173097  0.9816139  -0.7743143  -0.72199684  0.8769069 ]
OCCN(CCO)c1ccccc1,[-0.0451626   0.41250852 -1.          0.1795041   0.07586385]
COP(=S)(OC)SCSCC=C(Cl)Cl,[ 0.48661533  0.33391628 -0.94502187 -0.75676155 -0.23739204]
CC(C)(C)c1cc(Br)c2nc(C(F)(F)F)[nH]c2c1,[ 0.33928457  0.95799124 -0.646405   -0.60567033 -0.07236611]
CCCCOC(=O)CC,[ 0.3483087   0.78821385 -0.6149925  -0.7256761   0.45660746]
COc1ncc(-c2cccc3c2C[C@H](NC(=O)c2ccc(OCCC(F)(F)F)nc2)CO3)cn1,[ 0.29510596  0.90715206 -0.86572915 -0.9138969  -0.14747833]
CCCCOC(=O)CCC(=O)OCCCC,[-0.13031535  0.83705074 -0.9138912  -0.80650175 -0.3864339 ]
c1ccc(Nc2ccc(NC3CCCCC3)cc2)cc1,[ 0.23308887  0.88564056 -0.8792702  -0.897349   -0.11043203]
Cc1ccccc1C(C)c1ccccc1,[ 0.24981055  0.6402111  -0.58832234 -0.720976    0.43586794]
Cn1nc(C(=O)NC2CC3CCCC(C2)[NH+]3C)c2ccccc21,[ 0.45668784  0.8894049  -0.85874015 -0.89247906  0.33239958]
CC(O)C#N,[ 0.14093204  0.00703214 -0.906365   -0.8113636  -0.3673981 ]
