O=S(=O)(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl,[ 0.45546648  0.7750543  -0.881061   -0.7954651  -0.31760433]
Clc1ccc(C2(Cn3cncn3)OCCO2)c(Cl)c1,[ 0.11397208 -0.40756312 -0.8577687  -0.17903058 -0.36864445]
CC(C)Oc1cc(-n2cnc3ccc(N[C@@H](C)c4ccc(F)cn4)nc32)n[nH]1,[ 0.35100296  0.25499287 -0.79989445 -0.77468854  0.06546252]
CCCCOC(=O)CCCCC(=O)OCCCC,[ 0.4866659   0.73362565 -0.9755584  -0.32794443 -0.48232952]
Cc1ccc(S(=O)(=O)OCCCl)cc1,[ 0.35467732  0.93687695 -0.6848712  -0.7300723  -0.08289482]
O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O,[-0.41472235  0.89648634 -0.83213717 -0.63186693 -0.10752519]
CCCCCCCC[Si](OCC)(OCC)OCC,[ 0.36279604  0.84712416 -0.66546893 -1.         -0.5329963 ]
CC(=O)OC1CCC(N2CCCCC2)CC1,[-0.1292206   0.9084775  -0.8897679  -0.85283184  0.2895879 ]
CCCCCC=CCC=CCCCCCCCC(=O)N(CCO)CCO,[-0.1507016   0.83512914 -0.18679191 -0.89076996  0.18676762]
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,[ 0.0105896   0.7488326  -0.6760535  -0.64272505  0.7292417 ]
CCC(OC(N)=O)c1ccccc1Cl,[ 0.29460654 -0.38259462 -0.93791753 -0.36031407  0.00169929]
Cc1ccc(N)cc1C,[-0.44648522  0.88922316 -0.79410756 -0.39868885 -0.13394713]
Cc1ccccc1-n1c(Cn2nc(-c3ccc(O)c(F)c3)c3c(N)ncnc32)nc2cccc(C)c2c1=O,[ 0.16260365  0.906162   -0.85025865 -0.84728694 -0.39039823]
CC(C=O)=Cc1ccco1,[ 0.2004122   0.8602538  -0.6152237  -0.80069536 -0.4370753 ]
Cc1cc(F)ccc1Oc1cccc2c(=O)cc(N3CCOCC3)[nH]c12,[ 0.05126733  0.67979    -0.5445919  -0.9011707  -0.06326621]
N#CN=c1ccccn1Cc1ccc(Cl)cc1,[ 0.37896395  0.655233   -0.67299825 -0.7502784  -0.62259096]
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,[-0.25723657  0.8563796  -0.9099015  -0.749561    0.72698987]
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,[ 0.26274815  0.7796426  -0.75175583 -0.7413204   0.8557205 ]
COC(=O)C1=CO[C@@H](C)[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@@H]12,[ 0.2876658   0.44303817 -0.55627334 -0.5188041   0.49346793]
CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)O,[ 0.5021408   0.4801378  -0.8707735  -0.840986   -0.01002834]
Ic1ccccc1,[ 0.42421553  0.9639369  -0.8578808  -0.68382037 -0.3062452 ]
COc1ncc(-c2cccc(C)c2CCNC(=O)c2ccc(OCCC(F)(F)F)nc2)cn1,[ 0.33914116  0.44572863 -0.4379769  -0.6030055   0.13673356]
O=C1CN(/N=C/c2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1,[ 0.08726609  0.8931544  -0.79034    -0.94285196 -0.01518644]
C=COCC(C)C,[ 0.4183386   0.91673577 -0.87031585 -0.8743743   0.2639119 ]
OCCN(CCO)c1ccccc1,"[ 2.7483216e-01  4.1212851e-01 -8.2756799e-01 -6.3902664e-01
  1.9420468e-04]"
O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,[ 0.40166324  0.69128054 -0.9694351  -0.50966215  0.2540785 ]
COCCOc1cnc(NS(=O)(=O)c2ccccc2)nc1,[ 0.24095654  0.79019463 -0.84089655 -0.6579665  -0.06456546]
CCCCNC,[-0.46489754  0.9636395  -0.7311113  -0.30477718 -0.1958502 ]
CNC(=O)c1ccc(C)c(-n2c(C)cc(OCc3ccc(F)cc3F)c(Br)c2=O)c1,[ 0.00881205 -0.15123115 -0.80097204 -0.82581544 -0.34464592]
ClC(Cl)c1ccccc1,[-0.05416181  0.8075962   0.44268325 -0.45076162 -0.01520308]
COc1cccc2c(O)nc(-c3ccc(C(F)(F)F)cc3)nc12,[-0.02487445  0.18550344 -0.7549678  -0.16100356 -0.00086812]
C=CC(=O)OCC(CC)CC,[ 0.01730924  0.9422969  -0.8024911   0.5147737   0.27397335]
CN(C)C(=O)CCS[C@H](SCCC(=O)O)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,[-0.42450896  0.8888002  -0.7742625  -0.89074606 -0.06259608]
CN(C)CCOc1cc(NS(=O)(=O)c2c(Cl)cc(C(F)(F)F)cc2Cl)ccc1Cl,[ 0.25248414  0.39372846 -0.78075576 -0.5573665  -0.37321973]
CCN(CCNCCc1ccc(O)c2[nH]c(=O)sc12)C(=O)CCOCCc1ccccc1,[ 0.25310647  0.91926515 -0.56536573 -0.77856773  0.90472853]
CNC(=O)Nc1nnc(C(C)(C)C)s1,[ 0.14280233  0.2480235  -0.4272116  -0.6622445  -0.09694148]
CC(C)CCCCCOC(=O)C(C)Oc1cc(Cl)c(Cl)cc1Cl,[ 0.4307357   0.8536062  -0.80234396 -0.8860706  -0.47267425]
CCOC(=S)C=Cc1ccc(N(C)C)cc1,[ 0.5001607   0.5587677  -0.43161035 -0.7770953   0.1153851 ]
C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@H](N)CO,[ 0.20135301  0.6151237  -0.58835053 -0.85171586  0.2018901 ]
CN(N=O)c1ccc(C=O)cc1,[ 0.5149395   0.90987617 -0.93899214  0.4503347  -0.0010179 ]
O=[N+]([O-])c1cc([N+](=O)[O-])c(Nc2cc(C(F)(F)F)ccc2Cl)c(C(F)(F)F)c1,[ 0.8163244   0.8697252  -1.         -0.8566111   0.09072585]
CC(Cl)(Cl)CCl,[ 0.4302504   0.86214244 -0.814538   -0.9291754  -0.05415694]
CNC(=O)ON=CC(C)(C)S(C)(=O)=O,[-0.11674333 -0.7206167  -0.6382093  -0.5824811  -0.30066177]
c1cc(-c2ccncc2)ccn1,[-0.12371216  0.83656603 -0.774687   -0.79325885  0.66399163]
COC(=NC#N)OC,[ 0.4437557   0.8827715  -0.5263178  -0.70262045  0.39876667]
CC(C)NCC(O)COc1ccc(NC=O)cc1,[-0.01797006  0.73052007 -0.72988796 -0.64807814 -0.2177473 ]
Cc1nc(N(C)C)nc(OC(=O)N(C)C)c1C,[ 0.42347297 -0.7871475  -0.8550575   0.11796177 -0.00597026]
CNC(=O)OC1C2(C)CCC(C2)C1(C)C,[-0.6449588   0.8716783  -0.7683891  -0.72997254 -0.30414286]
O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CN2CC3CNCC(C2)O3)ccc1Cl,[ 0.18084061  0.8767675  -0.8985752  -0.6799418  -0.42336953]
C[NH+](C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,[ 0.12191693  0.82155675 -0.84841895  0.4157334   0.2768137 ]
