Drug,Caco2_Wang,PPBR_AZ,VDss_Lombardo,Half_Life_Obach,LD50_Zhu
N#Cc1cccc(-c2cc(C(F)(F)F)ccc2OCC(=O)O)c1,,98.61,,,
OC1CC2CC1C1CC=CC21,,,,,1.672
COc1cc2c(OC3OCC(OC)C(OC)C3O)c3c(c(-c4ccc5c(c4)OCO5)c2cc1OC)COC3=O,,,,,4.636
c1ccc2c(c1)CCC[C@H]2Nc1nc2ccccc2[nH]1,,99.3,,,
Cc1ccc2[nH]nnc2c1,,,,,1.92
O=C1CN=C(c2ccccc2Cl)c2cc(Cl)ccc2N1,,,2.2,200.0,2.1830000000000003
O=C(NCc1cccnc1)Nc1ccc([N+](=O)[O-])cc1,,,,,4.643
C[C@@]1(C(=O)Nc2ccc(F)nc2)CCCN1c1nc(Nc2cc(C3CC3)n[nH]2)c2cccn2n1,,97.91,,,
Cc1cccc(-c2nc3cc(Cl)ccc3[nH]2)n1,,98.89,,,
Nc1nc2cc(Cl)c(O)cc2o1,,,,,2.237
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,-6.0999999,,,,
COc1cc([C@@H]2c3cc4c(cc3[C@@H](OC3OC5COC(c6cccs6)OC5C(O)C3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,-6.0500002,,,,
C=CC(C)CCCC(C)(C)O,,,,,1.638
COCCc1ccc(OCC(O)CNC(C)C)cc1,-4.3493013,,,3.6,1.887
O=c1[nH]c(=O)c2ccccc2o1,,,,,2.3369999999999997
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC=Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,,,,,2.1790000000000003
CS(=O)(=O)c1ccc(N)c(Cl)c1,,,,,1.335
O=c1[nH]c2ccccc2n1CCC[NH+]1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,,,3.4,,
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,,,,,3.057
O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,-5.0582528,,,,
FC(F)(F)c1nc2cc(Cl)ccc2[nH]1,,,,,4.51
CCCCCN(CCCCC)N=O,,,,,2.0269999999999997
