CCC(Cl)(CC)C(=O)OCC(Cl)(Cl)Cl,[ 0.01259156  0.76803005 -0.85450083 -0.92967206  0.15877387]
CCOP(=S)(OCC)SCSc1cc(Cl)ccc1Cl,[-0.6302809  1.        -1.        -1.         0.8700231]
Cc1ccc(S(=O)(=O)Nc2c(C(=O)NC3CCCCC3)c(C)nn2-c2ccccc2)cc1,[-0.21659882 -0.12879045 -0.960816   -0.90172535 -0.06597609]
COc1nc(C)nc(Cl)c1NC1=[NH+]CCN1,[ 0.8656044   0.8013491  -0.8023847  -0.30805644 -0.12688857]
COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(Cl)c1,[-0.27574837  0.65853065 -0.70627457 -0.17530912  0.40661988]
CCCCNP(=S)(OCC)Sc1ccccc1,[-0.266145    0.7939393  -0.83733606 -0.3598655   0.21382275]
CN(SSC(C)(C)C)C(=O)ON=C1SCCS1,[-0.15890917  0.71503544 -0.3219257  -0.8928347   0.11255726]
Cc1cc2cccnc2n(-c2ccccc2)c1=O,[-0.03009355  0.67433685 -0.32500798 -0.2931171   0.2776244 ]
CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,[ 0.15596789  1.         -0.9525754  -1.         -0.2338828 ]
CCOc1nn(CSP(=S)(OC)OC)c(=O)s1,[ 0.50995517  0.04697651 -0.60308295 -0.6748101   0.13529322]
C1COCO1,[ 0.12587996  0.61195815 -1.          0.63295794 -0.0293889 ]
CC1(C)COC1=O,[-0.06685637  0.78676254 -0.6115782  -0.36659786 -0.00776052]
COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,[ 0.02444401  0.68866587 -0.71224904 -0.62460786  0.04329214]
N#Cc1cnn2c(NC3CC3)cc(-n3ccc4ccc(CO)cc43)nc12,[ 0.05772311  0.55950904 -0.5528331  -0.14519975  0.43079937]
S=C=S,[ 0.24431239  0.72997093 -0.83921957 -0.46118355 -0.10871637]
CCCCCCOCCCCCC,[-0.01268009  0.29009667 -0.36574945 -0.1269252  -0.32867998]
CNC(=O)N(C)N=O,[ 0.0702882   0.63956887 -0.11831678 -0.3648163   0.28081802]
COC(C)N(C)N=O,[ 0.50055844  0.8659529  -0.7099803  -0.15001988  0.26247257]
CCCCCCCCN(C)C,[ 0.21601978  0.7135222   0.23018333  0.28615418 -0.12467706]
COc1ccccc1O,[-0.4463246   0.50577784 -0.22383183 -0.62478113 -0.45819002]
